Date,open,high,low,close,volume,SMA,EMA,RSI,GDP,CPI,CPI_inflation_rate,positive,neutral,negative
04-01-2021,133.52,133.6116,126.76,129.41,143301887,131.7075,131.2290807,62.11491866,22656.793,0.094147847,4.697858864,0.011938631,0.988056302,5.10E-06
05-01-2021,128.89,131.74,128.43,131.01,97664898,132.143,131.1892478,65.45545881,22656.793,0.094147847,4.697858864,7.10E-07,0.999999285,3.41E-08
06-01-2021,127.72,131.0499,126.382,126.6,155087970,131.98,130.3548391,47.72807952,22656.793,0.094147847,4.697858864,1.31E-06,0.999998093,6.24E-07
07-01-2021,128.36,131.63,127.86,130.92,109578157,131.884,130.4575957,54.79642196,22656.793,0.094147847,4.697858864,0.996599356,1.22E-05,0.003388442
08-01-2021,132.43,132.63,130.23,132.05,105158245,131.993,130.7471237,55.12859767,22656.793,0.094147847,4.697858864,0.039539851,0.001113113,0.95934701
11-01-2021,129.19,130.17,128.5,128.98,100620880,131.694,130.4258285,53.45109099,22656.793,0.094147847,4.697858864,0.99982062,0.000117983,6.14E-05
12-01-2021,128.5,129.69,126.86,128.8,90440255,130.905,130.1302233,50.8826262,22656.793,0.094147847,4.697858864,0.61004328,0.000827167,0.389129513
13-01-2021,128.76,131.45,128.49,130.89,88636831,130.507,130.2683645,48.38919623,22656.793,0.094147847,4.697858864,0.499979678,0.500000115,2.02E-05
14-01-2021,130.8,131,128.76,128.91,90221755,130.026,130.0213892,46.77571563,22656.793,0.094147847,4.697858864,6.68E-09,1,9.04E-09
15-01-2021,128.78,130.2242,127,127.14,111598531,129.471,129.4975002,42.58064516,22656.793,0.094147847,4.697858864,0.999962687,7.05E-08,3.71E-05
19-01-2021,127.78,128.71,126.938,127.83,90757329,129.313,129.1943184,34.46704067,22656.793,0.094147847,4.697858864,0.999962687,7.05E-08,3.71E-05
20-01-2021,128.66,132.49,128.55,132.03,104319489,129.415,129.7098968,45.40453074,22656.793,0.094147847,4.697858864,0.999962687,7.05E-08,3.71E-05
21-01-2021,133.8,139.67,133.59,136.87,120529544,130.442,131.0117338,54.55333912,22656.793,0.094147847,4.697858864,4.63E-08,1,4.74E-09
22-01-2021,136.28,139.85,135.02,139.07,114459360,131.257,132.4768731,58.92058166,22656.793,0.094147847,4.697858864,0.999996424,3.08E-06,4.36E-07
25-01-2021,143.07,145.09,136.54,142.92,157611713,132.344,134.3756234,68.59344894,22656.793,0.094147847,4.697858864,1.15E-06,0.999998808,1.64E-08
26-01-2021,143.6,144.3,141.37,143.16,98390555,133.762,135.9727828,67.37203317,22656.793,0.094147847,4.697858864,7.08E-07,0.999999285,1.18E-08
27-01-2021,143.43,144.3,140.41,142.06,140843759,135.088,137.0795496,74.41566646,22656.793,0.094147847,4.697858864,0.99999547,2.58E-06,1.96E-06
28-01-2021,139.52,141.99,136.7,137.09,142621128,135.708,137.0814497,59.54812751,22656.793,0.094147847,4.697858864,0.99999547,2.58E-06,1.96E-06
29-01-2021,135.83,136.74,130.21,131.96,177523812,136.013,136.150277,49.8760672,22656.793,0.094147847,4.697858864,0.99999547,2.58E-06,1.96E-06
01-02-2021,133.75,135.38,130.93,134.14,106239823,136.713,135.7847721,57.28402033,22656.793,0.547438279,4.697858864,0.999827862,8.74E-05,8.48E-05
02-02-2021,135.73,136.31,134.61,134.99,82266419,137.429,135.6402681,58.57578277,22656.793,0.547438279,4.697858864,0.999998331,5.01E-07,1.16E-06
03-02-2021,135.76,135.77,133.61,133.94,89880937,137.62,135.3311284,54.35092725,22656.793,0.547438279,4.697858864,0.999998331,5.01E-07,1.16E-06
04-02-2021,136.3,137.4,134.59,137.39,84183061,137.672,135.7054687,61.61007667,22656.793,0.547438279,4.697858864,0.984274328,0.014557607,0.001168066
05-02-2021,137.35,137.42,135.86,136.76,75693830,137.441,135.8972017,63.59525155,22656.793,0.547438279,4.697858864,0.015966531,0.979934514,0.004098928
08-02-2021,136.03,136.96,134.92,136.91,71297214,136.84,136.0813468,63.03099885,22656.793,0.547438279,4.697858864,0.999955893,3.40E-07,4.37E-05
09-02-2021,136.62,137.877,135.85,136.01,75986989,136.125,136.0683747,56.30944832,22656.793,0.547438279,4.697858864,0.599858867,0.065372207,0.334768909
10-02-2021,136.48,136.99,134.4,135.39,72647988,135.458,135.9450338,47.29136164,22656.793,0.547438279,4.697858864,0.999979377,8.24E-06,1.24E-05
11-02-2021,135.9,136.39,133.77,135.13,64280029,135.262,135.7968459,42.23798266,22656.793,0.547438279,4.697858864,0.999979377,8.24E-06,1.24E-05
12-02-2021,134.35,135.53,133.6921,135.37,60145130,135.603,135.7192375,32.65962333,22656.793,0.547438279,4.697858864,0.999979377,8.24E-06,1.24E-05
16-02-2021,135.49,136.01,132.79,133.19,80576316,135.508,135.2593762,28.97511598,22656.793,0.547438279,4.697858864,0.999951919,1.22E-05,3.59E-05
17-02-2021,131.25,132.22,129.47,130.84,97372199,135.093,134.4558532,27.52403846,22656.793,0.547438279,4.697858864,0.92901051,0.030025817,0.040963594
18-02-2021,129.2,129.995,127.41,129.71,96856748,134.67,133.5929708,32.52840909,22656.793,0.547438279,4.697858864,0.802526653,0.197434425,3.89E-05
19-02-2021,130.24,130.71,128.8,129.87,87668834,133.918,132.916067,43.52941176,22656.793,0.547438279,4.697858864,0.802526653,0.197434425,3.89E-05
22-02-2021,128.01,129.72,125.6,126,102886922,132.842,131.6586003,27.18609865,22656.793,0.547438279,4.697858864,1.51E-08,0.999999881,9.62E-08
23-02-2021,123.76,126.71,118.39,125.86,158273022,131.737,130.6043093,23.35084647,22656.793,0.547438279,4.697858864,1.79E-05,2.93E-05,0.999952793
24-02-2021,124.94,125.56,122.23,125.35,111039904,130.671,129.6489804,24.11091019,22656.793,0.547438279,4.697858864,1.79E-05,2.93E-05,0.999952793
25-02-2021,124.68,126.4585,120.54,120.99,144766924,129.231,128.0746203,3.142857143,22656.793,0.547438279,4.697858864,1.79E-05,2.93E-05,0.999952793
26-02-2021,122.59,124.85,121.2,121.26,163424672,127.844,126.8355984,4.784130688,22656.793,0.547438279,4.697858864,0.999993443,5.15E-06,1.44E-06
01-03-2021,123.75,127.93,122.79,127.79,116307892,127.086,127.009126,30.6122449,22656.793,0.708327313,4.697858864,0.999952435,3.21E-06,4.43E-05
02-03-2021,128.41,128.72,125.01,125.12,102260945,126.279,126.6656485,28.46975089,22656.793,0.708327313,4.697858864,0.999983311,5.92E-06,1.07E-05
03-03-2021,124.81,125.71,121.84,122.06,112966340,125.401,125.8282579,25.96465921,22656.793,0.708327313,4.697858864,0.999983311,5.92E-06,1.07E-05
